url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
https://open.canada.ca/en/open-data,education,1675203012265332288
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
https://open.canada.ca/en/open-data,education,1678297437210983739
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
https://open.canada.ca/en/open-data,education,1678348279741716959
url,category,timestamp
url,category,timestamp
url,category,timestamp
https://open.canada.ca/en/open-data,education,1678348462475748420
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
https://open.canada.ca/en/open-data,education,1678352824278772099
url,category,timestamp
url,category,timestamp
url,category,timestamp
https://open.canada.ca/en/open-data,health,1678361571648052435
url,category,timestamp
url,category,timestamp
url,category,timestamp
url,category,timestamp
